Word	Tag
healthy	O
living	O
to	O
style	O
makeup	O
and	O
fashion	O
tips	O
.	O
stay	O
tuned	O
to	O
watch	O
more	O
how	O
to	O
beauty	O
health	O
lifestyle	O
videos	O
.	O
subscribe	O
list	O
plug	O
hbjc	O
bbindauwm	O
fuaxtbbcyfyfii	O
.	O
what	O
is	O
diabetic	ENTITY
cardiomyopathy	ENTITY
.	O
what	O
does	O
diabetic	ENTITY
cardiomyopathy	ENTITY
.	O
diabetic	ENTITY
cardiomyopathy	ENTITY
meaning	O
diabetic	ENTITY
cardiomyopathy	ENTITY
.	O
source	O
wikipedia	O
org	O
article	O
adapted	O
under	O
diabetic	ENTITY
cardiomyopathy	ENTITY
is	O
disorder	ENTITY
of	ENTITY
the	ENTITY
heart	ENTITY
muscle	ENTITY
in	O
people	O
with	O
diabetes	ENTITY
.	O
it	O
can	O
lead	O
to	O
inability	O
of	O
the	O
heart	ENTITY
to	ENTITY
circulate	ENTITY
blood	ENTITY
through	ENTITY
the	ENTITY
body	ENTITY
effectively	ENTITY
state	ENTITY
known	ENTITY
as	ENTITY
heart	ENTITY
failure	ENTITY
with	O
accumulation	O
of	O
fluid	O
in	O
the	O
lungs	ENTITY
pulmonary	ENTITY
edema	ENTITY
or	O
legs	O
.	O
most	O
heart	ENTITY
failure	ENTITY
in	O
people	O
with	O
diabetes	ENTITY
results	ENTITY
from	ENTITY
coronary	ENTITY
artery	ENTITY
disease	ENTITY
and	O
diabetic	ENTITY
cardiomyopathy	ENTITY
is	O
only	O
said	O
to	O
exist	O
if	O
there	O
is	O
no	O
coronary	ENTITY
artery	ENTITY
disease	ENTITY
to	O
explain	O
the	O
heart	ENTITY
muscle	ENTITY
disorder	ENTITY
.	O
one	O
particularity	O
of	O
dcm	O
is	O
the	O
long	O
latent	O
phase	O
during	O
which	O
the	O
disease	ENTITY
.	O
in	O
most	O
cases	O
dcm	O
is	O
detected	O
with	O
concomitant	O
hypertension	ENTITY
or	ENTITY
coronary	ENTITY
artery	ENTITY
disease	ENTITY
.	O
one	O
of	O
the	O
earliest	O
signs	O
is	O
mild	O
left	ENTITY
ventricular	ENTITY
diastolic	ENTITY
dysfunction	ENTITY
with	O
little	O
effect	O
on	O
ventricular	ENTITY
.	O
also	O
the	O
diabetic	ENTITY
patient	ENTITY
may	O
show	O
subtle	O
signs	O
of	O
dcm	O
related	O
to	O
decreased	O
left	ENTITY
ventricular	ENTITY
compliance	O
or	O
left	ENTITY
ventricular	ENTITY
hypertrophy	ENTITY
.	O
prominent	O
wave	O
can	O
also	O
be	O
noted	O
in	O
the	O
jugular	O
venous	O
pulse	O
and	O
the	O
cardiac	ENTITY
.	O
after	O
the	O
development	O
of	O
systolic	ENTITY
dysfunction	ENTITY
left	ENTITY
ventricular	ENTITY
dilation	ENTITY
and	O
symptomatic	ENTITY
heart	ENTITY
failure	ENTITY
.	O
systolic	ENTITY
mitral	ENTITY
murmur	ENTITY
is	O
not	O
uncommon	O
in	O
these	O
cases	O
.	O
these	O
changes	O
are	O
accompanied	O
by	O
variety	O
of	O
electroc	O
ardiographic	O
changes	O
that	O
may	O
be	O
associated	O
with	O
dcm	O
in	O
of	O
patients	O
without	O
structural	ENTITY
heart	ENTITY
disease	ENTITY
.	O
later	O
in	O
the	O
progression	O
prolonged	O
qt	O
interval	O
may	O
be	O
indicative	O
of	O
fibrosis	ENTITY
.	O
given	O
that	O
dcm	O
definition	O
excludes	O
concomitant	O
atherosclerosis	ENTITY
or	ENTITY
hypertension	ENTITY
there	ENTITY
are	ENTITY
no	ENTITY
changes	ENTITY
in	ENTITY
perfusion	ENTITY
or	ENTITY
in	ENTITY
atrial	ENTITY
natriuretic	ENTITY
peptide	ENTITY
levels	O
up	O
until	O
the	O
very	O
late	O
stages	O
of	O
the	O
disease	O
when	O
the	O
hypertrophy	ENTITY
and	ENTITY
fibrosis	ENTITY
.	O
defects	O
in	O
cellular	O
processes	O
such	O
as	O
autophagy	ENTITY
and	ENTITY
mitophagy	ENTITY
are	ENTITY
thought	ENTITY
to	ENTITY
contribute	ENTITY
to	ENTITY
the	ENTITY
development	ENTITY
of	ENTITY
diabetic	ENTITY
cardiomyopathy	ENTITY
.	O
diabetic	ENTITY
cardiomyopathy	ENTITY
is	O
characterized	O
functionally	O
by	O
ventricular	ENTITY
dilation	ENTITY
enlargement	O
of	O
heart	ENTITY
cells	ENTITY
prominent	O
interstitial	O
fibrosis	ENTITY
and	ENTITY
decreased	ENTITY
or	ENTITY
preserved	ENTITY
.	O
while	O
it	O
has	O
been	O
evident	O
for	O
long	O
time	O
that	O
the	O
complications	O
seen	O
in	O
diabetes	ENTITY
are	ENTITY
related	ENTITY
to	ENTITY
the	ENTITY
hyperglycemia	ENTITY
associated	ENTITY
to	ENTITY
it	ENTITY
several	ENTITY
factors	ENTITY
have	ENTITY
been	ENTITY
implicated	ENTITY
in	ENTITY
the	ENTITY
pathogenesis	ENTITY
of	ENTITY
the	ENTITY
disease	ENTITY
.	O
etiologically	ENTITY
four	ENTITY
main	ENTITY
causes	ENTITY
are	ENTITY
responsible	ENTITY
for	ENTITY
the	ENTITY
development	ENTITY
of	ENTITY
heart	ENTITY
failure	ENTITY
in	O
dcm	O
microangiopathy	ENTITY
and	ENTITY
related	ENTITY
endothelial	ENTITY
dysfunction	ENTITY
autonomic	O
neuropathy	O
metabolic	O
alterations	O
that	O
include	O
abnormal	O
glucose	ENTITY
use	ENTITY
and	ENTITY
increased	ENTITY
fatty	ENTITY
acid	ENTITY
oxidation	ENTITY
generation	O
and	O
accumulation	O
of	O
free	ENTITY
radicals	ENTITY
.	O
microangiopathy	ENTITY
can	ENTITY
be	ENTITY
characterized	ENTITY
as	ENTITY
subendothelial	ENTITY
and	ENTITY
endothelial	ENTITY
fibrosis	ENTITY
in	O
the	O
coronary	ENTITY
microvasculature	ENTITY
of	ENTITY
the	ENTITY
heart	ENTITY
.	O
this	O
endothelial	ENTITY
dysfunction	ENTITY
leads	O
to	O
impaired	ENTITY
myocardial	ENTITY
blood	ENTITY
.	O
about	O
of	O
diabetics	O
with	O
dcm	O
show	O
pathologic	O
evidence	O
for	O
microangiopathy	ENTITY
such	ENTITY
as	ENTITY
sub	ENTITY
endothelial	ENTITY
and	ENTITY
endothelial	ENTITY
fibrosis	ENTITY
compared	O
to	O
only	O
of	O
non	O
diabetic	O
heart	ENTITY
failure	ENTITY
.	O
over	O
the	O
years	O
several	O
hypotheses	O
were	O
postulated	O
to	O
explain	O
the	O
endothelial	ENTITY
dysfunction	ENTITY
observed	O
in	O
diabetes	ENTITY
.	O
it	O
was	O
hypothesized	O
that	O
the	O
extracellular	O
hyperglycemia	ENTITY
leads	ENTITY
to	ENTITY
an	ENTITY
intracellular	ENTITY
hyperglycemia	ENTITY
in	ENTITY
cells	ENTITY
unable	ENTITY
to	ENTITY
regulate	ENTITY
their	ENTITY
glucose	ENTITY
uptake	ENTITY
most	ENTITY
predominantly	ENTITY
endothelial	ENTITY
cells	ENTITY
.	O
indeed	O
while	O
hepatocytes	ENTITY
and	ENTITY
myocytes	ENTITY
have	ENTITY
mechanisms	ENTITY
allowing	ENTITY
them	ENTITY
to	ENTITY
internalize	ENTITY
their	ENTITY
glucose	ENTITY
transporter	ENTITY
endothelial	ENTITY
cells	ENTITY
do	O
not	O
possess	O
.	O
the	O
consequences	O
of	O
increased	O
intracellular	O
glucose	ENTITY
concentration	ENTITY
are	O
fourfold	O
all	O
resulting	O
from	O
increasing	O
concentration	O
of	O
glycolytic	ENTITY
intermediates	ENTITY
upstream	ENTITY
of	ENTITY
the	ENTITY
rate	ENTITY
limiting	ENTITY
glyceraldehyde	ENTITY
phosphate	ENTITY
reaction	O
which	O
is	O
inhibited	O
by	O
mechanisms	O
activated	O
by	O
increased	O
free	O
radical	O
formation	O
common	O
in	O
diabetes	ENTITY
.	O
four	O
pathways	O
enumerated	O
below	O
all	O
explain	O
part	O
of	O
the	O
diabetic	ENTITY
complications	ENTITY
.	O
in	O
this	O
video	O
we	O
re	O
going	O
to	O
learn	O
about	O
how	O
the	O
concentration	O
of	O
hormones	ENTITY
.	O
by	O
ryan	O
patton	O
.	O
created	O
by	O
ryan	O
scott	O
patton	O
.	O
watch	O
the	O
next	O
lesson	O
add	O
user	O
khanacademy	O
.	O
controlled	O
diabetics	O
high	ENTITY
sugar	ENTITY
levels	ENTITY
in	ENTITY
blood	ENTITY
with	O
days	O
treatment	O
nadipathy	O
diabetes	ENTITY
treatment	ENTITY
in	ENTITY
nadipathy	ENTITY
what	ENTITY
is	ENTITY
diabetes	ENTITY
it	ENTITY
is	ENTITY
the	ENTITY
condition	ENTITY
that	ENTITY
body	ENTITY
cannot	ENTITY
balance	ENTITY
the	ENTITY
glucose	ENTITY
levels	ENTITY
due	O
to	O
lack	O
of	O
energy	O
to	O
pancreas	ENTITY
or	ENTITY
the	ENTITY
body	ENTITY
cannot	ENTITY
utilize	ENTITY
insulin	ENTITY
to	ENTITY
maintain	ENTITY
glucose	ENTITY
homeostasis	ENTITY
.	O
it	O
was	O
first	O
known	O
in	O
the	O
th	O
century	O
.	O
again	O
diabetes	ENTITY
is	ENTITY
differentiated	ENTITY
in	ENTITY
to	ENTITY
two	ENTITY
types	ENTITY
diabetes	ENTITY
mellitus	ENTITY
and	O
diabetes	ENTITY
insipidus	ENTITY
.	O
diabetes	ENTITY
mellitus	ENTITY
is	O
mainly	O
caused	O
by	O
deficiency	O
of	O
insulin	ENTITY
due	ENTITY
to	ENTITY
either	ENTITY
lack	ENTITY
of	ENTITY
energy	ENTITY
in	ENTITY
pancreas	ENTITY
or	ENTITY
any	ENTITY
auto	ENTITY
immune	ENTITY
disease	ENTITY
.	O
while	O
diabetes	ENTITY
insipidus	ENTITY
is	O
caused	O
by	O
defect	O
in	O
secretion	O
of	O
vasopressin	ENTITY
antidiuretic	ENTITY
hormone	ENTITY
which	O
is	O
secreted	O
from	O
pituitary	ENTITY
gland	ENTITY
present	O
in	O
hypothalamus	ENTITY
.	O
its	O
function	O
is	O
to	O
reabsorb	O
water	O
from	O
distal	O
tubules	O
in	O
the	O
kidney	ENTITY
.	O
but	O
its	O
deficiency	O
caused	O
increased	O
water	O
excretion	O
through	O
urine	O
even	O
in	O
low	O
intake	O
of	O
water	O
.	O
diabetes	ENTITY
mellitus	ENTITY
and	O
diabetes	ENTITY
insipidus	ENTITY
are	O
unrelated	O
although	O
they	O
have	O
similar	O
signs	O
and	O
symptoms	O
like	O
excessive	O
thirst	O
and	O
excessive	ENTITY
urination	ENTITY
.	O
diabetes	ENTITY
mellitus	ENTITY
is	O
more	O
common	O
than	O
the	O
diabetes	ENTITY
insipidus	ENTITY
.	O
diabetes	ENTITY
mellitus	ENTITY
.	O
type	O
diabetes	ENTITY
the	ENTITY
body	ENTITY
does	ENTITY
not	ENTITY
produce	ENTITY
insulin	ENTITY
.	O
such	O
diabetes	ENTITY
called	ENTITY
as	ENTITY
insulin	ENTITY
dependent	ENTITY
diabetes	ENTITY
.	O
people	O
usually	O
develop	O
type	O
diabetes	ENTITY
before	ENTITY
their	ENTITY
th	ENTITY
.	O
today	O
type	O
diabetes	ENTITY
has	ENTITY
no	ENTITY
proper	ENTITY
treatment	ENTITY
.	O
so	O
these	O
individuals	O
are	O
insulin	ENTITY
.	O
approximately	O
of	O
all	O
diabetes	ENTITY
cases	ENTITY
are	ENTITY
type	ENTITY
common	ENTITY
symptoms	ENTITY
of	ENTITY
type	ENTITY
diabetes	ENTITY
.	O
fatigue	O
or	O
tiredness	O
.	O
excessive	O
thirst	O
.	O
increased	O
urination	ENTITY
.	O
nausea	ENTITY
perhaps	ENTITY
vomiting	ENTITY
.	O
blurred	O
vision	O
.	O
in	O
women	O
frequent	O
vaginal	ENTITY
.	O
dry	ENTITY
mouth	ENTITY
.	O
itching	ENTITY
skin	ENTITY
.	O
slow	O
healing	O
wounds	O
.	O
type	O
diabetes	ENTITY
globally	ENTITY
as	ENTITY
of	ENTITY
an	ENTITY
estimated	ENTITY
million	ENTITY
people	ENTITY
have	ENTITY
type	ENTITY
diabetes	ENTITY
worldwide	ENTITY
.	O
about	O
cases	O
are	O
type	O
diabetes	ENTITY
.	O
this	O
is	O
happening	O
due	O
to	O
lack	O
of	O
energy	O
in	O
the	O
pancreas	ENTITY
.	O
so	O
that	O
pancreas	ENTITY
cannot	ENTITY
produce	ENTITY
sufficient	ENTITY
insulin	ENTITY
to	ENTITY
maintain	ENTITY
glucose	ENTITY
homeostasis	ENTITY
.	O
common	O
symptoms	O
.	O
excessive	O
thirst	O
.	O
excessive	O
hungry	O
.	O
weak	ENTITY
eye	ENTITY
.	O
increased	O
urination	ENTITY
.	O
fatigue	O
or	O
tiredness	O
.	O
in	O
women	O
frequent	O
vaginal	ENTITY
.	O
slow	O
healing	O
wounds	O
.	O
gestation	ENTITY
diabetes	ENTITY
this	O
type	O
of	O
diabetes	ENTITY
usually	ENTITY
occurs	ENTITY
in	ENTITY
pregnant	ENTITY
mothers	ENTITY
during	ENTITY
gestation	ENTITY
pregnancy	ENTITY
.	O
so	O
there	O
is	O
an	O
increase	O
in	O
high	ENTITY
blood	ENTITY
sugar	ENTITY
.	O
most	O
gestational	ENTITY
diabetes	ENTITY
goes	O
away	O
after	O
child	ENTITY
birth	ENTITY
.	O
common	O
symptoms	O
of	O
gestation	ENTITY
diabetes	ENTITY
increased	O
urination	ENTITY
fatigue	ENTITY
or	ENTITY
tiredness	ENTITY
increased	ENTITY
thirst	ENTITY
nausea	ENTITY
and	ENTITY
vomiting	ENTITY
blurred	ENTITY
vision	ENTITY
weight	ENTITY
loss	ENTITY
hormonal	ENTITY
imbalance	ENTITY
head	O
aches	ENTITY
body	ENTITY
pain	ENTITY
diabetes	ENTITY
insipidus	ENTITY
the	O
several	O
forms	O
of	O
diabetes	ENTITY
insipidus	ENTITY
are	O
neurogenic	ENTITY
diabetes	ENTITY
insipidus	ENTITY
neurogenic	O
diabetes	ENTITY
insipidus	ENTITY
is	O
more	O
commonly	O
known	O
as	O
central	ENTITY
diabetes	ENTITY
insipidus	ENTITY
.	O
it	O
is	O
caused	O
by	O
the	O
damage	O
of	O
pituitary	ENTITY
gland	ENTITY
present	O
in	O
hypothalamus	ENTITY
region	ENTITY
or	ENTITY
other	ENTITY
reasons	ENTITY
like	ENTITY
autoimmune	ENTITY
infection	ENTITY
surgery	ENTITY
head	ENTITY
trauma	ENTITY
and	O
some	O
drugs	O
.	O
nephrogenic	ENTITY
diabetes	ENTITY
insipidus	ENTITY
nephrogenic	ENTITY
diabetes	ENTITY
insipidus	ENTITY
is	O
caused	O
by	O
an	O
improper	O
response	O
of	O
the	O
kidney	ENTITY
to	ENTITY
adh	ENTITY
leading	ENTITY
to	ENTITY
decrease	ENTITY
in	ENTITY
the	ENTITY
ability	ENTITY
of	ENTITY
kidney	ENTITY
to	ENTITY
concentrate	ENTITY
the	ENTITY
urine	ENTITY
by	ENTITY
removing	ENTITY
free	ENTITY
water	ENTITY
.	O
dipsogenic	ENTITY
diabetes	ENTITY
insipidus	ENTITY
dipsogenic	ENTITY
diabetes	ENTITY
insipidus	ENTITY
is	O
defect	O
or	O
damage	O
to	O
the	O
thirst	O
mechanism	O
which	O
is	O
located	O
in	O
the	O
hypothalamus	ENTITY
.	O
this	O
defect	O
results	O
in	O
the	O
inability	O
for	O
water	O
deficit	O
to	O
trigger	O
vasopressin	ENTITY
secretion	ENTITY
and	ENTITY
thirst	ENTITY
.	O
such	O
patients	O
tend	O
to	O
develop	O
hypernatermia	ENTITY
and	ENTITY
dehydration	ENTITY
.	O
for	O
more	O
information	O
blog	O
for	O
more	O
details	O
visit	O
www	O
nadipathy	O
in	O
.	O
am	O
vlog	O
early	O
morning	O
workout	O
outdoor	O
swim	O
hitting	O
the	O
jacuzzi	O
extreme	O
health	O
and	O
cardiovascular	ENTITY
health	ENTITY
changing	ENTITY
paradigms	ENTITY
and	ENTITY
perceptions	ENTITY
post	ENTITY
hall	ENTITY
interview	ENTITY
fatigue	ENTITY
induced	ENTITY
changes	ENTITY
in	ENTITY
emg	ENTITY
in	ENTITY
cyclists	ENTITY
symposium	ENTITY
optimizing	ENTITY
exercise	ENTITY
and	ENTITY
diet	ENTITY
for	ENTITY
insulin	ENTITY
sensitivity	ENTITY
and	O
mitochondrial	ENTITY
function	ENTITY
post	O
hall	O
study	O
concurrent	O
training	O
health	O
benefits	O
symposium	O
move	O
to	O
rhythm	ENTITY
circadian	ENTITY
orchestration	O
of	O
exercise	O
and	O
muscle	O
biology	O
exhibit	O
hall	O
me	O
taking	O
the	O
fit	O
light	O
.	O
post	O
hall	O
interview	O
blood	ENTITY
pressure	ENTITY
responses	O
to	O
isometric	ENTITY
exercise	ENTITY
.	O
leaving	O
exhibit	O
hall	O
and	O
calling	O
it	O
day	O
.	O
references	O
provocative	O
paper	O
exercise	O
and	O
the	O
heart	ENTITY
the	ENTITY
good	ENTITY
the	ENTITY
bad	ENTITY
.	O
ndsu	ENTITY
virtual	ENTITY
cell	ENTITY
.	O
for	O
more	O
information	O
please	O
see	O
.	O
when	O
high	O
levels	O
of	O
glucose	ENTITY
enter	ENTITY
the	ENTITY
blood	ENTITY
stream	ENTITY
insulin	ENTITY
is	O
released	O
by	O
beta	ENTITY
cells	ENTITY
in	O
the	O
pancreas	ENTITY
.	O
insulin	ENTITY
then	ENTITY
initiates	ENTITY
number	ENTITY
of	ENTITY
signal	ENTITY
pathways	ENTITY
in	ENTITY
specific	ENTITY
muscle	ENTITY
and	ENTITY
fat	ENTITY
cells	ENTITY
.	O
this	O
takes	O
look	O
at	O
the	O
signal	O
pathway	O
responsible	O
for	O
allowing	O
those	O
cells	O
to	O
rapidly	O
increase	O
their	O
ability	O
to	O
uptake	O
glucose	ENTITY
from	ENTITY
the	ENTITY
blood	ENTITY
stream	ENTITY
.	O
lumbar	ENTITY
disc	ENTITY
bulge	ENTITY
treatment	ENTITY
in	O
nadipathy	O
our	O
spinal	ENTITY
cord	ENTITY
comprises	O
of	O
many	O
bones	ENTITY
known	ENTITY
as	ENTITY
vertebrae	ENTITY
each	ENTITY
of	ENTITY
which	ENTITY
is	ENTITY
separated	ENTITY
by	ENTITY
disc	ENTITY
.	O
the	O
disc	ENTITY
is	ENTITY
wrapped	ENTITY
by	ENTITY
the	ENTITY
many	ENTITY
layers	ENTITY
.	O
in	O
the	O
middle	O
of	O
the	O
disc	ENTITY
.	O
when	O
this	O
jelly	O
like	O
substance	O
leaked	O
from	O
the	O
disc	ENTITY
due	ENTITY
to	ENTITY
tear	ENTITY
in	ENTITY
connective	ENTITY
tissue	ENTITY
it	ENTITY
is	ENTITY
called	ENTITY
lumbar	ENTITY
.	O
lumbar	ENTITY
disc	ENTITY
bulge	ENTITY
most	ENTITY
commonly	ENTITY
occur	ENTITY
in	ENTITY
people	ENTITY
who	ENTITY
have	ENTITY
heavy	ENTITY
work	ENTITY
on	ENTITY
sitting	ENTITY
and	ENTITY
bending	ENTITY
.	O
the	O
lowest	O
disc	ENTITY
of	ENTITY
the	ENTITY
spine	ENTITY
is	ENTITY
most	ENTITY
commonly	ENTITY
affected	ENTITY
with	ENTITY
the	ENTITY
disc	ENTITY
.	O
symptoms	O
pain	O
after	O
standing	O
and	O
sitting	O
headache	ENTITY
especially	ENTITY
in	ENTITY
back	ENTITY
of	ENTITY
the	ENTITY
head	ENTITY
numbness	ENTITY
or	ENTITY
abnormal	ENTITY
sensation	ENTITY
in	ENTITY
whole	ENTITY
body	ENTITY
when	ENTITY
you	ENTITY
bend	ENTITY
the	ENTITY
spinal	ENTITY
cord	ENTITY
forward	O
feel	O
pain	O
over	O
the	O
buttocks	ENTITY
thigh	ENTITY
lower	ENTITY
leg	ENTITY
or	ENTITY
foot	ENTITY
pain	ENTITY
get	O
worse	O
during	O
nights	O
reasons	O
to	O
develop	O
lumbar	ENTITY
disc	ENTITY
bulge	ENTITY
being	ENTITY
over	ENTITY
weight	ENTITY
having	ENTITY
the	ENTITY
job	ENTITY
with	ENTITY
more	ENTITY
bending	ENTITY
.	O
spine	ENTITY
injury	ENTITY
or	O
surgery	ENTITY
gastric	ENTITY
.	O
over	O
twenty	O
million	O
people	O
in	O
the	O
united	O
states	O
have	O
diabetes	ENTITY
mellitus	ENTITY
.	O
in	O
both	O
human	O
and	O
economic	O
terms	O
it	O
is	O
one	O
of	O
our	O
nation	O
most	O
costly	O
health	O
conditions	O
.	O
diabetes	ENTITY
is	ENTITY
the	ENTITY
leading	ENTITY
cause	ENTITY
of	ENTITY
kidney	ENTITY
failure	ENTITY
blindness	O
in	O
adults	O
and	O
amputations	ENTITY
.	O
it	O
is	O
major	O
risk	O
factor	O
for	O
heart	ENTITY
disease	ENTITY
stroke	O
and	O
birth	O
defects	O
shortens	O
.	O
glut	O
ia	ENTITY
the	ENTITY
only	ENTITY
glucose	ENTITY
transporter	ENTITY
that	O
is	O
insulin	ENTITY
.	O
like	O
us	O
on	O
facebook	O
by	O
clicking	O
on	O
the	O
link	O
.	O
overview	O
of	O
how	O
the	O
nephrons	ENTITY
in	ENTITY
the	ENTITY
kidney	ENTITY
filter	ENTITY
blood	ENTITY
and	ENTITY
reabsorb	ENTITY
water	ENTITY
.	O
created	O
by	O
sal	O
.	O
watch	O
the	O
next	O
lesson	O
add	O
user	O
khanacademy	O
.	O
presented	O
by	O
mary	O
turyk	O
associate	O
professor	O
of	O
epidemiology	O
school	O
of	O
public	O
health	O
university	O
of	O
illinois	O
at	O
chicago	O
human	O
exposure	O
to	O
persistent	ENTITY
organic	ENTITY
pollutants	O
or	O
pops	O
is	O
ubiquitous	O
and	O
occurs	O
primarily	O
through	O
consumption	O
.	O
these	O
toxicants	ENTITY
affect	ENTITY
many	ENTITY
biological	ENTITY
systems	ENTITY
including	ENTITY
hormone	ENTITY
regulation	ENTITY
glucose	ENTITY
homeostasis	ENTITY
neurologic	ENTITY
function	ENTITY
and	O
reproduction	O
some	O
are	O
known	O
carcinogens	ENTITY
.	O
the	O
great	O
lakes	O
fish	O
consumption	O
.	O
this	O
presentation	O
will	O
describe	O
contaminant	O
exposures	O
and	O
fish	O
consumption	O
.	O
one	O
of	O
the	O
first	O
prospective	O
investigations	O
on	O
the	O
role	O
of	O
pop	O
exposures	O
in	O
the	O
development	O
of	O
diabetes	ENTITY
was	ENTITY
conducted	ENTITY
in	ENTITY
this	ENTITY
cohort	ENTITY
finding	ENTITY
elevated	ENTITY
diabetes	ENTITY
risk	ENTITY
in	ENTITY
persons	ENTITY
with	ENTITY
greater	ENTITY
exposure	ENTITY
to	ENTITY
dde	ENTITY
.	O
while	O
the	O
biologic	ENTITY
pathways	ENTITY
by	O
which	O
environmental	O
exposures	O
may	O
increase	O
diabetes	ENTITY
risk	ENTITY
have	ENTITY
not	ENTITY
been	ENTITY
elucidated	ENTITY
evidence	ENTITY
will	ENTITY
be	ENTITY
presented	ENTITY
that	ENTITY
suggest	ENTITY
pops	ENTITY
may	ENTITY
have	ENTITY
stronger	ENTITY
impact	ENTITY
on	ENTITY
blood	ENTITY
glucose	ENTITY
in	O
persons	O
at	O
higher	O
risk	O
for	O
diabetes	ENTITY
.	O
click	O
here	O
type	O
diabetesis	ENTITY
chronic	ENTITY
disease	ENTITY
characterized	O
by	O
abnormal	O
glucose	ENTITY
metabolism	ENTITY
.	O
type	O
diabetes	ENTITY
is	ENTITY
by	ENTITY
far	ENTITY
the	ENTITY
most	ENTITY
common	ENTITY
form	ENTITY
of	ENTITY
diabetics	ENTITY
actually	ENTITY
suffer	ENTITY
.	O
in	O
the	O
case	O
of	O
type	O
diabetes	ENTITY
there	ENTITY
is	ENTITY
resistance	ENTITY
of	ENTITY
the	ENTITY
tissues	ENTITY
to	ENTITY
insulin	ENTITY
and	ENTITY
decreased	ENTITY
response	ENTITY
to	ENTITY
glucose	ENTITY
by	ENTITY
the	ENTITY
pancreas	ENTITY
.	O
the	O
circulating	O
endogenous	O
insulin	ENTITY
is	ENTITY
sufficient	ENTITY
to	ENTITY
prevent	ENTITY
ketosis	ENTITY
.	O
there	O
is	O
often	O
excessive	O
insulin	ENTITY
secretion	ENTITY
and	O
excessive	O
activity	O
of	O
the	O
beta	ENTITY
cells	ENTITY
in	O
the	O
pancreas	ENTITY
.	O
diabetes	ENTITY
is	ENTITY
very	ENTITY
widespread	ENTITY
metabolic	ENTITY
disorder	ENTITY
.	O
studies	O
have	O
estimated	O
that	O
in	O
there	O
were	O
million	O
people	O
infected	O
with	O
the	O
disease	ENTITY
worldwide	ENTITY
and	ENTITY
according	ENTITY
to	ENTITY
several	ENTITY
estimations	ENTITY
the	ENTITY
number	ENTITY
will	ENTITY
reach	ENTITY
million	ENTITY
by	ENTITY
this	ENTITY
is	ENTITY
chronic	ENTITY
condition	ENTITY
that	ENTITY
may	ENTITY
remain	ENTITY
silent	ENTITY
for	ENTITY
long	ENTITY
periods	ENTITY
and	ENTITY
the	ENTITY
progression	ENTITY
of	ENTITY
the	ENTITY
disease	ENTITY
.	O
the	O
most	O
important	O
step	O
you	O
can	O
take	O
to	O
treat	O
diabetes	ENTITY
naturally	ENTITY
without	ENTITY
drugs	ENTITY
lose	O
weight	O
obesity	ENTITY
.	O
abdominal	ENTITY
obesity	ENTITY
is	O
even	O
more	O
dangerous	O
and	O
is	O
an	O
important	O
and	O
independent	O
risk	O
factor	O
for	O
