contentDuration_API,id,title,views,date_published,tags,likes,accreditationTag,description,channel.name,channel.url,channel.subscribers
PT1M37S,Q6OtzmR3eXo,VDO (SET B) blood pressure,248,2013-01-28,"SET, B, blood, pressure",0,0.0, ,GIZE,https://www.youtube.com/UC11EqZplCjsM-Gr3xA_TSOA,1.8K subscribers
PT2M7S,beuN_Wl2Aqk,How to Put on an Adcuff Blood Pressure Cuff,354612,2016-08-09,,1043,0.0,,AmericanDiagnostic,https://www.youtube.com/UCu57BgqLboE_aE-JsI_wcFw,1.33K subscribers
PT1M46S,zo_0Bzsh4WA,"High Blood Pressure - Causes, Symptoms and Treatment Options",819436,2014-06-15,"high blood pressure medication, high blood pressure chart, high blood pressure during pregnancy, high blood pressure causes, high blood pressure numbers, high blood pressure in pregnancy, high blood pressure symptoms in men, high blood pressure in children, hypertension medications, hypertension definition, hypertension pathophysiology, hypertension causes, high blood pressure symptoms, Benign essential hypertension, Essential hypertension, HBP, HTN, Hypertension",4039,0.0,"Check out our new website http://www.rehealthify.com/Rehealthify offers reliable, up-to-date health information, anytime, anywhere, for free.Allergy (also called: Hypertension)-- video script below --Blood pressure is the force of your blood pushing against the walls of your arteries. Each time your heart beats, it pumps blood into the arteries. Your blood pressure is highest when your heart beats, pumping the blood. This is called systolic pressure. When your heart is at rest, between beats, your blood pressure falls. This is called diastolic pressure.Your blood pressure reading uses these two numbers. Usually the systolic number comes before or above the diastolic number. A reading of    119/79 or lower is normal blood pressure    140/90 or higher is high blood pressure    Between 120 and 139 for the top number, or between 80 and 89 for the bottom number is called prehypertension. Prehypertension means you may end up with high blood pressure, unless you take steps to prevent it.High blood pressure usually has no symptoms, but it can cause serious problems such as stroke, heart failure, heart attack and kidney failure.You can control high blood pressure through healthy lifestyle habits and taking medicines, if needed.NIH: National Heart, Lung, and Blood Institute",Rehealthify,https://www.youtube.com/UCB5a4eG55pmif3c2OXodIYw,81.4K subscribers
PT1M2S,iEwqy3lzK0c,How To Take Blood Pressure Correctly,583779,2018-11-20,"How To Take Blood Pressure Correctly, Accurate blood pressure reading, take blood pressure, Omron blood pressure",2058,0.0,"To get an accurate reading, its important to take your blood pressure correctly. Here's how.Learn more about OMRON's full line of accurate, easy-to-use, reliable blood pressure monitors.",OMRON Healthcare US,https://www.youtube.com/UCFef2uixxi97tJW1tzMEVVg,9.21K subscribers
PT3M6S,X3BCFOlk1oQ,"Baroreflex Regulation of Blood Pressure, Animation.",136060,2020-10-01,"acetylcholine, ACh, animated, ans, autonomic, baroreceptor, baroreceptors reset, baroreflex, biofeedback, biology, blood pressure, blood vessels, brain, cardiology, cardiovascular, circulation, circulatory system, conditions, disease, disorder, efferent, heart rate, medical, medulla, NE, negative feedback loop, neural, neuronal, norepinephrine, NTS, parasympathetic pathway, PSNS, resetting, SA node, SNS, sympathetic, vascular system, vasodilation, visceral reflex, control of blood pressure, heart, USMLE, NCLEX",3323,0.0,"(USMLE topics) How heart rate is controlled by the parasympathetic and sympathetic divisions of the autonomic nervous system, with overview of baroreceptor resetting. This video is available for instant download licensing here : https://www.alilamedicalmedia.com/-/galleries/narrated-videos-by-topics/hypertensioncholesterol/-/medias/f8cfd6d1-ca6a-4f1e-9871-cdc11879de24-baroreflex-regulation-of-blood-pressure-narrated-animation Alila Medical Media. All rights reserved. Voice by: Sue SternSupport us on Patreon and get FREE downloads and other great rewards: patreon.com/AlilaMedicalMedia Baroreflex, or baroreceptor reflex, is one of the mechanisms the body uses to maintain stable blood pressure levels or homeostasis. Baroreflex is a rapid negative feedback loop in which an elevated blood pressure causes heart rate and blood pressure to decrease. Reversely, a decrease in blood pressure leads to an increased heart rate, returning blood pressure to normal levels. The reflex starts with specialized neurons called baroreceptors. These are stretch receptors located in the wall of the aortic arch and carotid sinus. Increased blood pressure stretches the wall of the aorta and carotid arteries causing baroreceptors to fire action potentials at a higher than normal rate. These increased activities are sent via the vagus and glossopharyngeal nerves to the nucleus of the tractus solitarius  the NTS - in the brainstem. In response to increased baroreceptor impulses, the NTS activates the parasympathetic system  the PSNS - and inhibits the sympathetic system  the SNS. As the PSNS and SNS have opposing effects on blood pressures, PSNS activation and SNS inhibition work together in the same direction to maximize blood pressure reduction. Parasympathetic stimulation decreases heart rate by releasing acetylcholine which acts on the pacemaker cells of the SA node. Inhibition of the sympathetic division decreases heart rate, stroke volume and at the same time causes vasodilation of blood vessels. Together, these events rapidly bring DOWN blood pressure levels back to normal. When a person has a sudden drop in blood pressure, for example when standing up, the decreased blood pressure is sensed by baroreceptors as a decrease in tension. Baroreceptors fire at a lower than normal rate and the information is again transmitted to the NTS. The NTS reacts by inhibiting parasympathetic and activating sympathetic activities. The sympathetic system releases norepinephrine which acts on the SA node to increase heart rate; on cardiac myocytes to increase stroke volume and on smooth muscle cells of blood vessels to cause vasoconstriction. Together, these events rapidly bring UP blood pressure levels back to normal. Baroreflex is a short-term response to sudden changes of blood pressure resulted from everyday activities and emotional states. If hypertension or hypotension persists for a long period of time, the baroreceptors will reset to the new normal levels. In hypertensive patients for example, baroreflex mechanism is adjusted to a higher normal pressure and therefore MAINTAINS hypertension rather than suppresses it.",Alila Medical Media,https://www.youtube.com/UCiTGKA9W0G0TL8Hm7Uf_u9A,833K subscribers
PT1M42S,jRQNAa-tqr8,Remedy for High Blood Pressure that works,7013735,2014-03-04,"Hypertension (Disease Or Medical Condition), High blood pressure, lower high blood pressure, remedy to lower high blood pressure, lemon, mineral water, warm foot bath",36919,0.0,"Grandmother's tricks! Takes minutes to lower the blood pressure by the old method of placing feet in warm water and drinking the easy-made drink that involves 2 ingredients; easily obtained from a grocery store and one from your backyard trees, perhaps. Just buy any mineral water and squeeze one large lemon into the mineral water. This method has worked well for my grandmother's Hypertension for years. Also includes some tips of what foods to avoid, like sodium rich foods, canned foods that are either high in sodium or sugar, alcohol. Video by BeautyHealthTravel Channel.",BeautyHealthTravel,https://www.youtube.com/UC1rQSA09lGoCcsJeL1obL3Q,310K subscribers
PT1M55S,4YNdp3pRjig,Understanding Blood Pressure (Subtitles),504817,2018-04-30,,0,0.0,"Animation to help patients understand what high blood pressure and high cholesterol means, how they are caused and how they increase the risk of developing heart and circulatory disease.",0,0,0
PT1M55S,9CNmca7YfJE,Microlife BP B2 Basic Blood pressure monitor with irregular heartbeat detection - EU Version,45980,2020-06-10,,119,0.0,"Attach cuff, start, measure - done!  The Microlife beginner-model BP B2 Basic provides all important features that you need for measuring blood pressure reliably and accurately: 30 data memory for long-term follow-up of your blood pressure level, IHB technology for arrhythmia detection and the new feature ""cuff fit check"" ensures that the cuff is correctly placed on your upper arm.",Microlife,https://www.youtube.com/UCIoqp9JmCdwu6rOpWRS4SDg,2.15K subscribers
PT4M9S,Gmic13mvsgo,How to: Measure Blood Pressure,8239640,2012-06-27,"how, to, measure, blood, pressure, manually, tutorial, test, health, assessment, easy, simple, howto, medical, diastolic, systolic, how to read blood pressure, educational, poly, fit, polyfit, cal, kinesiology, Blood Pressure (Dimension), Medicine (Field Of Study)",29710,0.0,"An introductory video explaining how to manually measure blood pressure. In this video, we are sharing with you the auscultatory method of determining systolic and diastolic arterial pressures. The cuff is placed above the antecubital artery and the cuff is above the upper arm. The stethoscope is placed near the antecubital artery and no sound will be hear when there is enough pressure to close off the artery. When the pressure is slowly released, the sound of blood jetting through the vessel by the vibrations of the wall is called the Korotkoff sounds. The first sound is also the systolic pressure. The diastolic pressure is when a muffled quality occurs. Please note that the sound is often overestimated because sound can still be heard even after deflation of the cuff. This method is not 100% accurate but will give values within the 10% range. This information was written in the Textbook of Medical Physiology by Guyton and Hall.**Disclaimer: we are not medical professionals.",PolyFit CP,https://www.youtube.com/UCBtYm4rmegVxiJ3fosbjTtQ,24.6K subscribers
PT4M42S,xfZhb6lmxjk,Why do blood types matter? - Natalie S. Hodge,3611324,2015-06-29,"blood type, blood, blood donor, universal blood, blood donation, biology, types of blood, antigen, universal donor, type o, type a, type b, type AB, proteins, ABO type, rare blood type, red blood cells, O negative, science, human biology, education, animation, Natalie S. Hodge, Brad Purnell, TED, TED-Ed, TED Ed, Teded, Ted Education",63719,0.0,"Dig into the 4 main blood types  A, B, AB, and O  and find out why some bloods can mix while others cannot.--Its often said that despite humanitys many conflicts, we all bleed the same blood. Its a nice thought, but not quite accurate. In fact, our blood comes in a few different varieties. Natalie S. Hodge defines the four major blood types and sheds light on why some bloods can mix while others cannot. Lesson by Natalie S. Hodge, animation by Brad Purnell.Support Our Non-Profit Mission----------------------------------------------Support us on Patreon: http://bit.ly/TEDEdPatreonCheck out our merch: http://bit.ly/TEDEDShop----------------------------------------------Connect With Us----------------------------------------------Sign up for our newsletter: http://bit.ly/TEDEdNewsletterFollow us on Facebook: http://bit.ly/TEDEdFacebookFind us on Twitter: http://bit.ly/TEDEdTwitterPeep us on Instagram: http://bit.ly/TEDEdInstagram----------------------------------------------Keep Learning----------------------------------------------View full lesson: http://ed.ted.com/lessons/why-do-blood-types-matter-natalie-s-hodgeDig deeper with additional resources: https://ed.ted.com/lessons/why-do-blood-types-matter-natalie-s-hodge#digdeeper----------------------------------------------",TED-Ed,https://www.youtube.com/UCsooa4yRKGN_zEE8iknghZA,16.6 million subscribers
PT2M50S,qFdLDE_Hl1k,Lipo B Injections // A New You // Denver Weight Loss,2923,2020-05-26,"A New You, Denver, Colorado, weight loss, injection, lipo, vitamin B, immune, fat, clinic, med, spa",23,0.0,6 Laser treatments only $199!  Visit ANewYouDenver.com or call 720.499.8900,Denver7 – The Denver Channel,https://www.youtube.com/UC-2MJlKSq9_pYk5-bdvMhnw,453K subscribers
PT2M,6buIk5Qggt0,Losing Weight Taking Vitamin B Complex,1962,2020-12-15,,21,0.0,Losing Weight Taking Vitamin B Complex. Part of the series: Nutrition & Diets. Vitamin B complex can help with weight loss in a short-term sense because it is heavily involved in metabolic pathways. Use vitamin B complex to get a head start in healthy eating with advice from a registered and licensed dietitian in this free video on nutrition and diets.,ExpertVillage Leaf Group,https://www.youtube.com/UCQlGBspQdj17WOPBQMT1k9A,3.56 million subscribers
PT3M11S,Z4kqAWuadxY,Losing weight with B12 and lipotropic shots,216324,2016-01-04,"Detroit, Local News, distributable",717,0.0,"We discuss how people are trying t lose weight with B12 and lipotropic shots.WXYZ 7 Action News is metro Detroit's leading source for breaking news, weather warnings, award-winning investigative reports, sports and entertainment.WXYZ 7 Action News is Detroit's breaking news and weather leader. Channel 7 - on-air, online at WXYZ.com and always Taking Action for You.For more download the WXYZ mobile app:iPhone: http://bit.ly/iOS-wxyzAndroid: http://bit.ly/wxyzplay",WXYZ-TV Detroit | Channel 7,https://www.youtube.com/UC6HyKpYWmX4zsy6_bJZIK7A,612K subscribers
PT4M11S,VP_I6YJPIj8,Woman’s Incredible 245-Pound Weight Loss Journey!,903875,2020-01-24,"dr. nita, the doctors cbs, doctors, drs, andrew ordon, travis, physical, medicine, dr. batra, travis stork, dr. travis, advice, Weight Loss, dr. Judy ho, the drs, dr. judy, dr. ho, dr. nita landry, drew ordon, dr. sonia batra, dr. ordon, Fitness & Weight Loss Treatments, judy ho, thedoctors, Drug Trends, health, wellness, mental, healthy, nita landry, daytime, tips, the doctors, Drugs, sonia batra, ordon",11399,0.0,"When we met Chrissy she was 30-years-old and 515 pounds.Like us on Facebook: https://www.facebook.com/TheDoctorsFollow us on Twitter: https://twitter.com/thedoctorsFollow us on Instagram: https://www.instagram.com/thedoctorstvAbout The Doctors: The Doctors is an Emmy award-winning daytime talk show hosted by ER physician Dr. Travis Stork and co-hosted by plastic surgeon Dr. Andrew Ordon, along with dermatologist Dr. Sonia Batra, OB-GYN Dr. Nita Landry, and neuropsychologist Dr. Judy Ho.The Doctors helps you understand the latest health headlines, delivers exclusive interviews with celebrities dealing with health issues, debates and investigates health and safety claims, explains the latest viral videos and how you can avoid emergency situations, and serves up celebrity chefs to share the hottest and healthiest recipes and foods.",The Doctors,https://www.youtube.com/UCjH0RBT-7QhpSgLFnPLgD0Q,1.84 million subscribers
PT1M44S,_Wjw7lHTSws,Weight Loss for Anaemic and Vitamin B12 deficient Individuals - Dr. Anantharaman Ramakrishnan,10889,2019-07-24,"vitamin b12, vitamin b12 deficiency, vitamin b12 benefits, b12, weight loss, signs of vitamin b12 deficiency, b12 vitamin, vitamin b12 foods, symptoms of vitamin b12 deficiency, vitamin b12 deficiency symptoms, iron deficiency anemia, vitamin, anemia, metformin and vitamin b12 deficiency, b12 deficiency, deficiency, signs and symptoms of vitamin b12 deficiency, metformin and vitamin b12, vitamin b12 deficiency in india",115,0.0,"B12 deficiency and anemia are  micro-nutrient malnutrition. So they are typically because of iron deficiency or because of B12 deficiency or some other micro-nutrient malnutrition. And people for obese have micro nutrient malnutrition in the opposite direction over nutrition so reducing calorie intake is important in which we reduce the weight. A diet does not mean that you compromise the quality of the food we can actually maintain the quality of the nutrition by reducing the quantity deliberately quiet possible someone with the B12 deficiency and anaemia to actually go on a diet and reduce their weight. Make sure their anemia is corrected very quickly so that can be accomplished by inject-able B12 therapy and also with oral or iv iron in the oral iron iv iron. The major challenge with attempting weight loss in you are anemic or B12 deficient is because of poor muscle function exercise may become very difficult, so once we correct anaemia within a couple of weeks good exercise capacity can be restored and you can actually attempt a good amount of weight loss even while  you are diagnosed with anaemia B12 deficiency.",Doctors' Circle - World's Largest Health Platform,https://www.youtube.com/UCJY1JCVsIgVgN5ePERZ_Upg,1.43 million subscribers
PT4M16S,NFI4UcpNxJw,Man’s Incredible Weight Loss & Excess Skin Removal Transformation,4922233,2017-09-08,"dr. ashton, medicine, physical, wellness, doctors, health, thedoctors, the doctors, the doctors cbs, dr. rachael, tips, dr. travis, dr. ordon, mental, healthy, the drs, ordon, dr. berman, weight loss, advice, excess skin, travis, daytime",29070,0.0,"Subscribe to The Doctors: http://bit.ly/SubscribeTheDrs460-pound Zach lost over 300 pounds, but the extreme weight loss left him with a lot of excess skin. Check out his incredible transformation as he sheds even more pounds during skin removal surgery.Subscribe to The Doctors: http://bit.ly/SubscribeTheDrsLike us on Facebook: http://bit.ly/FacebookTheDoctorsFollow us on Twitter: http://bit.ly/TheDrsTwitterFollow us on Instagram: http://bit.ly/InstagramTheDoctorsTVFollow us on Pinterest: http://bit.ly/PinterestTheDrsAbout The Doctors:The Doctors is an Emmy award-winning daytime talk show hosted by ER physician Dr. Travis Stork, plastic surgeon Dr. Andrew Ordon and OB-GYN Dr. Nita Landry.The Doctors helps you understand the latest health headlines, such as the ice bucket challenge for ALS and the Ebola outbreak; delivers exclusive interviews with celebrities dealing with health issues, such as Lamar Odom, Teen Mom star Farrah Abraham, reality stars Honey Boo Boo and Mama June, and activist Chaz Bono; brings you debates about health and safety claims from agricultural company Monsanto and celebrities such as Jenny McCarthy; and shows you the latest gross viral videos and explains how you can avoid an emergency situation. The Doctors also features the News in 2:00 digest of the latest celebrity health news and The Doctors Prescription for simple steps to get active, combat stress, eat better and live healthier. Now in its eighth season, The Doctors celebrity guests have included Academy Award Winners Sally Field, Barbra Streisand, Jane Fonda, Marcia Gay Harden, Kathy Bates and Marisa Tomei; reality stars from Teen Mom and The Real Housewives, as well as Kris Jenner, Caitlyn Jenner, Melissa Rivers, Sharon Osbourne, Tim Gunn and Amber Rose; actors Jessica Alba, Christina Applegate, Julie Bowen, Patricia Heaton, Chevy Chase, Kristin Davis, Lou Ferrigno, Harrison Ford, Grace Gealey, Cedric the Entertainer, Valerie Harper, Debra Messing, Chris ODonnell, Betty White, Linda Gray, Fran Drescher, Emmy Rossum, Roseanne Barr, Valerie Bertinelli, Suzanne Somers; athletes Magic Johnson, Apolo Ohno and Danica Patrick; musicians Tim McGraw, Justin Bieber, Clint Black, LL Cool J,  Nick Carter, Kristin Chenoweth, Paula Abdul, Gloria Gaynor, La Toya Jackson, Barry Manilow, Bret Michaels, Gene Simmons and Jordin Sparks; and celebrity chefs Wolfgang Puck, Guy Fieri and Curtis Stone.",The Doctors,https://www.youtube.com/UCjH0RBT-7QhpSgLFnPLgD0Q,1.84 million subscribers
