date,Diabetes,diabetes complication,diabetes cure,diabetes depression,diabetes causes,isPartial,date,diabetes diagnosis,diabetes exercise,diabetes high risk,diabetes information,diabetes causes,isPartial,date,diabetes medication,Diabetes Mellitus,diabetes self care,diabetes self management,diabetes causes,isPartial,date,diabetes supplies,diabetes surgery,diabetes symptoms,diabetes testing,diabetes causes,isPartial,date,diabetes treatment,diabetes type 1 symptoms,diabetes type 2 symptoms,diets for diabetes,diabetes causes,isPartial,date,Gestational diabetes,gestational DM,increased risk of diabetes,insulin dependent diabetes mellitus,diabetes causes,isPartial,date,Type 1 diabetes,type 1 DM,Type 2 diabetes,Type 2 DM,diabetes causes,isPartial,date,type I diabetes,type I DM,Type II diabetes,Type II DM,diabetes causes,isPartial,date,diabetes lose weight ,borderline diabetes,diabetes kit,onset diabetes,diabetes causes,isPartial,date,diabetes magazines,herbal treatment for diabetes,diabetes supplements,diabetes type,diabetes causes,isPartial,date,diabetes and depression,diabetes impotence,about diabetes,diabetes recipes,diabetes causes,isPartial,date,diabetes lifestyle,diabetes medication side effects,blood glucose,blood pressure,diabetes causes,isPartial,date,continuous glucose monitoring systems,c-peptide test,fasting glucose,fasting plasma glucose,diabetes causes,isPartial,date,fingerstick glucose test,FPG,glucometers,glucose meter,diabetes causes,isPartial,date,glucose monitor,glucose test strip,glucose tolerance test,HbA1c,diabetes causes,isPartial,date,HemoglobinA1c,high glucose,iv glucose tolerance test,lifescan,diabetes causes,isPartial,date,normal blood glucose levels,normal glucose tolerance,oral glucose challenge,Oral glucose tolerance test,diabetes causes,isPartial,date,plasma concentration,plasma glucose,post glucose tolerance test,post prandial glucose,diabetes causes,isPartial,date,Post-prandial glucose,PPG,urine glucose,Acarbose,diabetes causes,isPartial,date,ACTOS,alogliptin,alpha-glucosidase inhibitors,Apidra,diabetes causes,isPartial,date,artificial pancreas,Aspart,Avandia,bariatric surgery,diabetes causes,isPartial,date,Biguanides,bolus insulin,Canagliflozin,carbohydrate counting,diabetes causes,isPartial,date,colesevelam,Cycloset,Detemir,diabetes clinical trails,diabetes causes,isPartial,date,Diabetes medicine,DPP-4 Inhibitors,FlexPen,Glargine,diabetes causes,isPartial,date,Glucophage,Glulisine,Glumetza,glyset,diabetes causes,isPartial,date,Humalog,Humulin,Humulin N,inhaled insulin,diabetes causes,isPartial,date,injection site rotation,insulin infusion pump,insulin injection,insulin needles,diabetes causes,isPartial,date,insulin pen injector,insulin pump,insulin syringe,insulin therapy,diabetes causes,isPartial,date,intermediate acting insulin,Invokana,islet cell transplantation,Januvia,diabetes causes,isPartial,date,Lantus,Levemir,linagliptin,Lispro,diabetes causes,isPartial,date,long acting insulin,meglitinides,metformin,miglitol,diabetes causes,isPartial,date,Nateglinide,Nesina,Novolin,Novolin N,diabetes causes,isPartial,date,Novolog,NPH insulin,Onglyza,oral hypoglycemic agents,diabetes causes,isPartial,date,pancreatic transplantation,parenteral glucagon emergency,pioglitazone,Pramlintide,diabetes causes,isPartial,date,prandin,precose,rapid acting insulin,Regular insulin,diabetes causes,isPartial,date,Repaglinide,Rosiglitazone,Ryzodeg,saxagliptin,diabetes causes,isPartial,date,SGLT2 inhibitors,short acting insulin,Sitagliptin,starlix,diabetes causes,isPartial,date,SymlinPen,thiazolidinediones,Toujeo,Tradjenta,diabetes causes,isPartial,date,Tresiba,Welchol,artificial sweetener,diabetes diet,diabetes causes,isPartial,date,diabetes prevention,diabetes prevention program,diabetes target range,diabetic diet,diabetes causes,isPartial,date,glycemic index,physical activity,adult blindness,Autonomic Neuropathy,diabetes causes,isPartial,date,cellulitis,diabetes and anorexia,diabetes and female sexual dysfunction,diabetes and nausea,diabetes causes,isPartial,date,diabetes and reduced sexual desire women,diabetes and vomiting,diabetes infections,diabetes myocardial infarct,diabetes causes,isPartial,date,diabetes staph infection,diabetes urinary tract infections,diabetes UTI,diabetic coma,diabetes causes,isPartial,date,diabetic dermopathy,diabetic foot,diabetic heart disease,diabetic keto acidosis,diabetes causes,isPartial,date,diabetic mononeuropathy,diabetic nephropathy,diabetic neuropathy,diabetic peripheral vascular disease,diabetes causes,isPartial,date,diabetic polyneuropathy,diabetic retinopathy,diabetic skin spots,End stage renal disease,diabetes causes,isPartial,date,ESRD,foot ulcers,gangrene,gastroparesis,diabetes causes,isPartial,date,hypoglycemia,insulin reaction,insulin shock,neuropathy,diabetes causes,isPartial,date,nocturnal diarrhea,peripheral neuropathy,acromegaly,Cushing’s disease,diabetes causes,isPartial,date,Cystic fibrosis–related DM,diabetes quality of life,diabetes study,fulminant diabetes,diabetes causes,isPartial,date,latent autoimmune diabetes of adulthood ,Maturity-onset diabetes of the young,maturity-onset diabetes of the young ,metabolic syndrome,diabetes causes,isPartial,date,monogenic diabetes,non-insulin dependent diabetes mellitus,prediabetes,prediabetes self management,diabetes causes,isPartial,date,Acanthosis nigricans,body mass index,body weight,diabetes risk factor,diabetes causes,isPartial,date,diabetes risk factors,glycosuria,hirsutism,hyperandrogenism,diabetes causes,isPartial,date,increased urination,increased water intake,intermediate hyperglycemia,PCOS,diabetes causes,isPartial,date,polycystic ovarian syndrome,polydipsia,polyuria,weight loss,diabetes causes,isPartial
2018-07-29,84,0,1,0,1,False,2018-07-29,22,13,4,6,67,False,2018-07-29,24,62,1,1,48,False,2018-07-29,3,4,71,4,17,False,2018-07-29,48,25,41,2,67,False,2018-07-29,90,1,0,1,26,False,2018-07-29,49,1,71,1,12,False,2018-07-29,28,0,7,0,67,False,2018-07-29,7,4,7,12,67,False,2018-07-29,0,0,1,69,7,False,2018-07-29,5,0,26,18,67,False,2018-07-29,0,0,3,69,1,False,2018-07-29,0,1,69,1,64,False,2018-07-29,0,12,4,57,67,False,2018-07-29,30,1,34,31,67,False,2018-07-29,0,54,0,3,37,False,2018-07-29,12,2,0,2,67,False,2018-07-29,4,4,0,1,67,False,2018-07-29,0,64,5,2,12,False,2018-07-29,33,8,0,9,67,False,2018-07-29,1,6,1,67,23,False,2018-07-29,2,2,5,0,67,False,2018-07-29,8,0,8,0,67,False,2018-07-29,31,1,8,24,67,False,2018-07-29,19,3,4,0,67,False,2018-07-29,65,24,8,1,55,False,2018-07-29,0,2,23,19,67,False,2018-07-29,1,36,10,3,37,False,2018-07-29,0,37,0,73,49,False,2018-07-29,78,30,7,15,45,False,2018-07-29,1,0,46,0,5,False,2018-07-29,4,5,30,7,67,False,2018-07-29,72,20,13,0,67,False,2018-07-29,0,0,32,2,67,False,2018-07-29,6,2,3,16,67,False,2018-07-29,7,1,0,7,67,False,2018-07-29,8,8,14,6,67,False,2018-07-29,0,2,32,37,67,False,2018-07-29,39,14,16,78,43,False,2018-07-29,8,3,1,86,48,False,2018-07-29,30,20,0,2,18,False,2018-07-29,96,0,0,0,11,False,2018-07-29,0,2,6,0,67,False,2018-07-29,1,0,10,15,67,False,2018-07-29,2,77,1,0,67,False,2018-07-29,0,5,48,0,67,False,2018-07-29,3,29,0,16,67,False,2018-07-29,24,5,38,71,28,False,2018-07-29,28,0,1,70,8,False,2018-07-29,0,76,22,0,41,False,2018-07-29,0,0,15,0,67,False,2018-07-29,0,0,0,38,58,False,2018-07-29,0,0,42,0,35,False,2018-07-29,5,12,76,0,11,False,2018-07-29,3,7,33,7,67,False,2018-07-29,1,0,0,61,6,False,2018-07-29,1,0,0,71,1,False
2018-08-05,83,0,1,0,1,False,2018-08-05,23,15,4,10,62,False,2018-08-05,27,57,0,2,44,False,2018-08-05,3,3,64,4,15,False,2018-08-05,51,20,41,1,62,False,2018-08-05,84,0,1,1,25,False,2018-08-05,44,0,63,2,11,False,2018-08-05,23,0,6,0,62,False,2018-08-05,10,6,7,14,62,False,2018-08-05,0,0,1,66,7,False,2018-08-05,5,2,23,12,62,False,2018-08-05,0,0,4,71,1,False,2018-08-05,0,1,77,2,60,False,2018-08-05,0,11,1,69,62,False,2018-08-05,38,3,28,41,62,False,2018-08-05,0,54,0,3,35,False,2018-08-05,18,4,0,1,62,False,2018-08-05,3,4,0,1,62,False,2018-08-05,0,63,6,1,11,False,2018-08-05,33,11,1,10,62,False,2018-08-05,1,6,1,62,22,False,2018-08-05,1,6,8,1,62,False,2018-08-05,7,1,9,0,62,False,2018-08-05,33,3,12,20,62,False,2018-08-05,18,1,1,1,62,False,2018-08-05,71,32,8,1,51,False,2018-08-05,0,2,16,18,62,False,2018-08-05,0,41,8,2,34,False,2018-08-05,0,30,0,74,46,False,2018-08-05,80,37,4,16,42,False,2018-08-05,1,0,45,0,4,False,2018-08-05,4,2,34,9,62,False,2018-08-05,70,21,14,0,62,False,2018-08-05,0,0,41,1,62,False,2018-08-05,3,1,3,22,62,False,2018-08-05,8,4,0,7,62,False,2018-08-05,13,5,13,3,62,False,2018-08-05,0,4,38,27,62,False,2018-08-05,35,13,13,96,40,False,2018-08-05,11,4,0,79,45,False,2018-08-05,33,18,0,3,17,False,2018-08-05,96,0,0,1,10,False,2018-08-05,0,2,2,0,62,False,2018-08-05,1,0,7,13,62,False,2018-08-05,3,69,1,0,62,False,2018-08-05,0,9,65,0,62,False,2018-08-05,1,38,0,16,62,False,2018-08-05,22,3,38,72,26,False,2018-08-05,29,0,1,87,7,False,2018-08-05,0,100,20,1,38,False,2018-08-05,0,0,7,0,62,False,2018-08-05,0,0,0,48,55,False,2018-08-05,0,0,48,0,33,False,2018-08-05,3,10,78,0,10,False,2018-08-05,4,5,33,1,62,False,2018-08-05,1,0,0,61,6,False,2018-08-05,1,0,0,67,1,False
2018-08-12,84,0,1,0,1,False,2018-08-12,26,17,2,8,62,False,2018-08-12,28,58,1,1,44,False,2018-08-12,3,3,65,4,15,False,2018-08-12,42,20,34,0,62,False,2018-08-12,84,0,0,1,25,False,2018-08-12,45,0,69,1,11,False,2018-08-12,27,0,10,1,62,False,2018-08-12,12,3,5,10,62,False,2018-08-12,0,0,1,68,7,False,2018-08-12,3,1,19,19,62,False,2018-08-12,0,0,4,72,1,False,2018-08-12,0,2,71,2,59,False,2018-08-12,0,14,1,73,62,False,2018-08-12,37,3,29,30,62,False,2018-08-12,0,49,0,5,35,False,2018-08-12,16,3,0,1,62,False,2018-08-12,4,5,0,2,62,False,2018-08-12,0,60,5,2,11,False,2018-08-12,34,7,0,9,62,False,2018-08-12,1,5,1,62,22,False,2018-08-12,2,3,7,3,62,False,2018-08-12,8,1,7,0,62,False,2018-08-12,28,1,11,30,62,False,2018-08-12,22,2,3,0,62,False,2018-08-12,75,28,7,1,51,False,2018-08-12,0,0,18,26,62,False,2018-08-12,0,36,9,3,34,False,2018-08-12,0,32,0,74,46,False,2018-08-12,84,39,6,18,42,False,2018-08-12,1,0,46,0,4,False,2018-08-12,3,2,32,11,62,False,2018-08-12,68,18,11,0,62,False,2018-08-12,0,0,45,2,62,False,2018-08-12,5,2,3,18,62,False,2018-08-12,8,1,0,5,62,False,2018-08-12,9,9,14,3,62,False,2018-08-12,0,1,38,31,62,False,2018-08-12,37,14,10,85,40,False,2018-08-12,7,4,0,88,44,False,2018-08-12,32,22,0,3,17,False,2018-08-12,92,0,0,1,10,False,2018-08-12,0,1,7,0,62,False,2018-08-12,0,0,11,11,62,False,2018-08-12,4,74,1,0,62,False,2018-08-12,0,6,65,0,62,False,2018-08-12,3,35,0,20,62,False,2018-08-12,23,4,43,71,26,False,2018-08-12,29,0,0,81,7,False,2018-08-12,0,98,17,0,38,False,2018-08-12,0,0,11,0,62,False,2018-08-12,0,0,0,44,54,False,2018-08-12,0,0,46,0,33,False,2018-08-12,5,10,67,0,10,False,2018-08-12,9,6,36,4,62,False,2018-08-12,1,0,0,58,6,False,2018-08-12,1,0,0,66,1,False
2018-08-19,81,0,1,0,1,False,2018-08-19,20,18,4,5,62,False,2018-08-19,25,54,1,1,44,False,2018-08-19,3,3,62,5,15,False,2018-08-19,40,26,42,2,62,False,2018-08-19,86,0,0,1,25,False,2018-08-19,47,1,69,1,11,False,2018-08-19,25,0,9,1,62,False,2018-08-19,9,4,7,6,62,False,2018-08-19,0,0,0,65,7,False,2018-08-19,3,1,17,18,62,False,2018-08-19,0,0,3,68,1,False,2018-08-19,0,1,74,1,60,False,2018-08-19,0,14,4,80,62,False,2018-08-19,46,2,36,35,62,False,2018-08-19,0,54,0,3,35,False,2018-08-19,14,2,0,4,62,False,2018-08-19,8,7,0,0,62,False,2018-08-19,0,56,4,1,11,False,2018-08-19,33,6,0,7,62,False,2018-08-19,1,6,2,61,22,False,2018-08-19,2,3,6,2,62,False,2018-08-19,5,0,6,0,62,False,2018-08-19,32,2,9,27,62,False,2018-08-19,21,1,0,0,62,False,2018-08-19,76,27,8,1,51,False,2018-08-19,0,1,19,18,62,False,2018-08-19,1,35,13,3,34,False,2018-08-19,0,28,0,78,46,False,2018-08-19,84,36,6,14,42,False,2018-08-19,1,0,44,0,4,False,2018-08-19,6,3,28,8,62,False,2018-08-19,70,17,13,1,62,False,2018-08-19,0,0,43,1,62,False,2018-08-19,6,4,3,18,62,False,2018-08-19,6,1,0,4,62,False,2018-08-19,9,9,17,3,62,False,2018-08-19,0,3,54,38,62,False,2018-08-19,36,14,15,88,40,False,2018-08-19,8,2,0,87,45,False,2018-08-19,33,28,0,3,17,False,2018-08-19,90,0,0,1,10,False,2018-08-19,0,1,2,0,62,False,2018-08-19,0,0,8,15,62,False,2018-08-19,3,65,1,0,62,False,2018-08-19,0,7,54,0,62,False,2018-08-19,2,28,0,17,62,False,2018-08-19,24,5,43,61,26,False,2018-08-19,29,0,1,76,7,False,2018-08-19,0,73,24,0,38,False,2018-08-19,0,0,11,0,62,False,2018-08-19,0,0,0,49,55,False,2018-08-19,1,0,55,0,33,False,2018-08-19,5,11,71,0,10,False,2018-08-19,6,4,37,4,62,False,2018-08-19,1,0,0,60,6,False,2018-08-19,1,0,0,60,1,False
2018-08-26,83,0,1,0,1,False,2018-08-26,22,12,4,12,66,False,2018-08-26,33,70,0,2,47,False,2018-08-26,3,2,65,5,16,False,2018-08-26,43,23,41,1,66,False,2018-08-26,86,0,1,0,26,False,2018-08-26,47,1,63,1,12,False,2018-08-26,23,0,9,0,66,False,2018-08-26,8,5,7,10,66,False,2018-08-26,0,0,1,66,7,False,2018-08-26,2,0,22,20,66,False,2018-08-26,0,0,4,72,1,False,2018-08-26,0,1,70,0,64,False,2018-08-26,0,13,3,59,66,False,2018-08-26,34,2,37,27,66,False,2018-08-26,0,55,0,2,37,False,2018-08-26,23,3,0,4,66,False,2018-08-26,17,9,0,0,66,False,2018-08-26,0,54,4,2,12,False,2018-08-26,39,5,1,7,66,False,2018-08-26,1,5,1,56,23,False,2018-08-26,2,2,6,2,66,False,2018-08-26,4,2,11,0,66,False,2018-08-26,32,2,12,28,66,False,2018-08-26,20,2,4,0,66,False,2018-08-26,66,26,8,2,54,False,2018-08-26,0,2,24,17,66,False,2018-08-26,0,39,7,3,36,False,2018-08-26,1,33,0,87,49,False,2018-08-26,90,39,4,16,45,False,2018-08-26,1,0,47,0,5,False,2018-08-26,5,3,30,11,66,False,2018-08-26,71,19,13,1,66,False,2018-08-26,0,0,46,1,66,False,2018-08-26,4,1,3,20,66,False,2018-08-26,8,4,0,8,66,False,2018-08-26,52,7,21,2,66,False,2018-08-26,0,4,41,40,66,False,2018-08-26,42,11,11,74,42,False,2018-08-26,13,4,0,81,47,False,2018-08-26,31,38,0,3,18,False,2018-08-26,91,0,0,0,10,False,2018-08-26,0,2,2,0,66,False,2018-08-26,0,0,5,12,66,False,2018-08-26,4,66,1,0,66,False,2018-08-26,0,7,57,0,66,False,2018-08-26,1,36,0,20,66,False,2018-08-26,21,4,61,71,28,False,2018-08-26,29,1,1,74,8,False,2018-08-26,2,78,19,1,40,False,2018-08-26,0,0,8,0,66,False,2018-08-26,0,0,0,47,58,False,2018-08-26,0,0,60,0,35,False,2018-08-26,5,12,69,0,11,False,2018-08-26,7,5,35,5,66,False,2018-08-26,1,0,0,59,6,False,2018-08-26,1,0,0,60,1,False
2018-09-02,81,0,1,0,1,False,2018-09-02,21,16,2,8,64,False,2018-09-02,33,65,0,2,46,False,2018-09-02,2,3,70,4,16,False,2018-09-02,56,28,41,3,64,False,2018-09-02,75,0,0,1,25,False,2018-09-02,48,1,68,1,12,False,2018-09-02,23,0,7,1,64,False,2018-09-02,9,3,6,14,64,False,2018-09-02,0,0,1,67,7,False,2018-09-02,2,1,23,19,64,False,2018-09-02,0,0,4,65,1,False,2018-09-02,0,1,64,0,62,False,2018-09-02,0,12,3,50,64,False,2018-09-02,34,4,22,20,64,False,2018-09-02,0,58,0,6,36,False,2018-09-02,17,1,0,4,64,False,2018-09-02,16,11,0,2,64,False,2018-09-02,0,58,6,1,11,False,2018-09-02,45,6,0,7,64,False,2018-09-02,1,5,1,53,23,False,2018-09-02,4,3,6,1,64,False,2018-09-02,6,0,5,0,64,False,2018-09-02,35,1,10,26,64,False,2018-09-02,21,1,1,0,64,False,2018-09-02,56,20,4,1,53,False,2018-09-02,0,3,16,21,64,False,2018-09-02,0,30,12,5,35,False,2018-09-02,0,35,0,62,47,False,2018-09-02,74,30,4,17,44,False,2018-09-02,1,0,39,0,5,False,2018-09-02,6,4,31,9,64,False,2018-09-02,67,18,8,0,64,False,2018-09-02,0,0,27,1,64,False,2018-09-02,2,2,2,19,64,False,2018-09-02,7,1,1,6,64,False,2018-09-02,28,6,13,2,64,False,2018-09-02,0,2,37,30,64,False,2018-09-02,29,8,15,74,41,False,2018-09-02,8,3,0,70,46,False,2018-09-02,30,41,0,3,17,False,2018-09-02,83,0,0,0,10,False,2018-09-02,0,4,4,0,64,False,2018-09-02,1,0,6,17,64,False,2018-09-02,6,60,1,1,64,False,2018-09-02,0,9,59,0,64,False,2018-09-02,2,30,0,17,64,False,2018-09-02,20,3,48,60,27,False,2018-09-02,26,1,1,73,8,False,2018-09-02,1,75,23,1,39,False,2018-09-02,0,1,12,0,64,False,2018-09-02,0,0,0,45,56,False,2018-09-02,0,0,55,0,34,False,2018-09-02,5,10,71,1,10,False,2018-09-02,8,8,33,3,64,False,2018-09-02,1,0,0,64,6,False,2018-09-02,1,0,0,58,1,False
2018-09-09,86,0,1,0,1,False,2018-09-09,27,20,2,11,65,False,2018-09-09,30,72,0,2,46,False,2018-09-09,3,4,69,4,16,False,2018-09-09,49,25,47,0,65,False,2018-09-09,84,0,0,1,26,False,2018-09-09,47,0,72,1,12,False,2018-09-09,22,0,10,1,65,False,2018-09-09,8,7,6,13,65,False,2018-09-09,0,0,0,70,7,False,2018-09-09,4,0,36,17,65,False,2018-09-09,0,0,4,68,1,False,2018-09-09,0,2,82,0,62,False,2018-09-09,0,11,3,57,65,False,2018-09-09,38,4,26,27,65,False,2018-09-09,0,63,0,4,36,False,2018-09-09,18,2,0,3,65,False,2018-09-09,20,17,0,1,65,False,2018-09-09,0,57,6,2,12,False,2018-09-09,42,4,0,8,65,False,2018-09-09,1,6,1,52,23,False,2018-09-09,3,3,3,1,65,False,2018-09-09,6,0,4,0,65,False,2018-09-09,27,1,10,26,65,False,2018-09-09,19,2,4,0,65,False,2018-09-09,66,26,7,1,53,False,2018-09-09,0,4,22,16,65,False,2018-09-09,0,35,10,4,36,False,2018-09-09,1,29,0,73,48,False,2018-09-09,78,27,6,16,44,False,2018-09-09,1,0,42,0,5,False,2018-09-09,2,3,38,8,65,False,2018-09-09,76,22,11,2,65,False,2018-09-09,0,0,39,0,65,False,2018-09-09,5,2,4,18,65,False,2018-09-09,8,1,1,3,65,False,2018-09-09,12,6,20,3,65,False,2018-09-09,0,2,44,47,65,False,2018-09-09,30,9,10,76,42,False,2018-09-09,12,3,0,77,46,False,2018-09-09,32,53,0,3,18,False,2018-09-09,82,0,0,1,10,False,2018-09-09,0,2,4,0,65,False,2018-09-09,0,0,8,10,65,False,2018-09-09,1,52,4,0,65,False,2018-09-09,0,3,51,1,65,False,2018-09-09,4,30,0,19,65,False,2018-09-09,24,3,56,62,27,False,2018-09-09,30,1,1,78,8,False,2018-09-09,1,76,22,1,39,False,2018-09-09,0,0,10,0,65,False,2018-09-09,0,0,0,50,57,False,2018-09-09,0,0,55,0,34,False,2018-09-09,5,12,67,1,10,False,2018-09-09,11,6,41,4,65,False,2018-09-09,1,0,0,60,6,False,2018-09-09,0,0,0,56,1,False
2018-09-16,91,0,1,0,2,False,2018-09-16,28,17,3,11,87,False,2018-09-16,32,79,1,3,62,False,2018-09-16,4,4,72,4,22,False,2018-09-16,49,35,42,2,87,False,2018-09-16,80,0,1,1,35,False,2018-09-16,61,1,75,1,16,False,2018-09-16,28,1,11,2,87,False,2018-09-16,6,8,5,14,87,False,2018-09-16,0,0,1,80,9,False,2018-09-16,5,1,34,23,87,False,2018-09-16,0,0,5,70,1,False,2018-09-16,0,0,80,3,84,False,2018-09-16,0,17,4,63,87,False,2018-09-16,44,2,33,37,87,False,2018-09-16,0,66,0,4,49,False,2018-09-16,25,2,0,1,87,False,2018-09-16,25,17,0,2,87,False,2018-09-16,0,66,5,1,16,False,2018-09-16,43,5,0,7,87,False,2018-09-16,1,7,1,59,31,False,2018-09-16,3,4,6,2,87,False,2018-09-16,5,1,8,0,87,False,2018-09-16,30,1,5,28,87,False,2018-09-16,22,3,2,0,87,False,2018-09-16,62,24,5,2,72,False,2018-09-16,0,1,25,17,87,False,2018-09-16,0,33,11,6,48,False,2018-09-16,0,36,0,74,64,False,2018-09-16,80,33,7,15,59,False,2018-09-16,1,0,43,0,6,False,2018-09-16,2,4,33,11,87,False,2018-09-16,68,25,7,1,87,False,2018-09-16,0,0,32,2,87,False,2018-09-16,3,3,4,21,87,False,2018-09-16,6,2,0,8,87,False,2018-09-16,10,5,19,4,87,False,2018-09-16,0,6,33,33,87,False,2018-09-16,33,11,12,82,56,False,2018-09-16,16,7,0,73,62,False,2018-09-16,31,53,0,3,24,False,2018-09-16,87,0,0,1,14,False,2018-09-16,0,3,5,0,87,False,2018-09-16,0,0,11,17,87,False,2018-09-16,2,68,2,0,87,False,2018-09-16,0,10,55,1,87,False,2018-09-16,0,40,0,16,87,False,2018-09-16,24,4,74,59,37,False,2018-09-16,32,1,1,88,10,False,2018-09-16,1,71,17,1,53,False,2018-09-16,0,2,13,0,87,False,2018-09-16,0,0,0,55,76,False,2018-09-16,0,0,52,0,46,False,2018-09-16,4,14,71,1,14,False,2018-09-16,14,6,51,1,87,False,2018-09-16,1,0,0,67,8,False,2018-09-16,0,0,0,57,1,False
2018-09-23,91,0,1,0,2,False,2018-09-23,31,21,7,11,73,False,2018-09-23,32,79,1,3,52,False,2018-09-23,3,4,74,5,18,False,2018-09-23,55,35,50,2,73,False,2018-09-23,80,0,1,1,29,False,2018-09-23,66,1,77,2,13,False,2018-09-23,29,2,13,1,73,False,2018-09-23,8,5,7,14,73,False,2018-09-23,0,0,1,83,8,False,2018-09-23,4,1,30,20,73,False,2018-09-23,0,0,5,69,1,False,2018-09-23,0,1,66,2,71,False,2018-09-23,0,11,3,72,73,False,2018-09-23,36,4,33,31,73,False,2018-09-23,0,72,0,4,41,False,2018-09-23,23,2,0,2,73,False,2018-09-23,32,21,0,2,73,False,2018-09-23,0,67,6,1,13,False,2018-09-23,42,6,1,5,73,False,2018-09-23,1,7,1,62,26,False,2018-09-23,2,6,7,1,73,False,2018-09-23,4,1,7,0,73,False,2018-09-23,31,4,9,30,73,False,2018-09-23,17,2,2,0,73,False,2018-09-23,67,30,7,1,60,False,2018-09-23,0,1,22,23,73,False,2018-09-23,0,53,11,5,40,False,2018-09-23,2,37,0,77,54,False,2018-09-23,70,33,4,23,50,False,2018-09-23,1,0,42,0,5,False,2018-09-23,8,1,22,8,73,False,2018-09-23,68,23,11,1,73,False,2018-09-23,0,0,36,3,73,False,2018-09-23,4,2,6,23,73,False,2018-09-23,10,0,0,4,73,False,2018-09-23,13,6,16,3,73,False,2018-09-23,0,4,38,35,73,False,2018-09-23,34,9,13,78,47,False,2018-09-23,12,2,0,84,52,False,2018-09-23,29,54,0,3,20,False,2018-09-23,82,0,0,1,12,False,2018-09-23,0,5,6,0,73,False,2018-09-23,0,0,7,14,73,False,2018-09-23,2,59,2,1,73,False,2018-09-23,0,10,52,2,73,False,2018-09-23,2,34,0,26,73,False,2018-09-23,24,4,60,67,31,False,2018-09-23,32,1,1,76,9,False,2018-09-23,1,73,26,0,45,False,2018-09-23,0,0,15,0,73,False,2018-09-23,0,0,0,56,64,False,2018-09-23,1,0,60,0,39,False,2018-09-23,4,12,72,1,12,False,2018-09-23,16,9,38,5,73,False,2018-09-23,1,0,0,69,7,False,2018-09-23,0,0,0,57,1,False
2018-09-30,89,0,1,0,2,False,2018-09-30,32,21,3,11,85,False,2018-09-30,27,75,2,1,61,False,2018-09-30,2,2,69,6,21,False,2018-09-30,58,26,43,3,85,False,2018-09-30,76,0,1,1,34,False,2018-09-30,60,0,78,2,15,False,2018-09-30,27,1,8,0,85,False,2018-09-30,10,5,6,14,85,False,2018-09-30,0,0,0,80,9,False,2018-09-30,5,0,30,18,85,False,2018-09-30,0,0,4,69,1,False,2018-09-30,0,1,76,0,82,False,2018-09-30,0,14,2,48,85,False,2018-09-30,36,4,30,38,85,False,2018-09-30,0,69,0,6,48,False,2018-09-30,19,2,0,4,85,False,2018-09-30,26,13,0,1,85,False,2018-09-30,0,62,7,2,15,False,2018-09-30,41,6,0,10,85,False,2018-09-30,2,6,1,56,30,False,2018-09-30,1,5,8,1,85,False,2018-09-30,11,0,9,0,85,False,2018-09-30,27,2,9,28,85,False,2018-09-30,16,2,3,0,85,False,2018-09-30,69,25,4,3,70,False,2018-09-30,0,1,20,19,85,False,2018-09-30,0,39,12,5,47,False,2018-09-30,1,35,0,71,63,False,2018-09-30,82,38,6,21,58,False,2018-09-30,1,0,38,0,6,False,2018-09-30,8,3,21,8,85,False,2018-09-30,65,23,10,0,85,False,2018-09-30,0,0,40,1,85,False,2018-09-30,6,1,5,22,85,False,2018-09-30,9,4,0,6,85,False,2018-09-30,14,8,14,4,85,False,2018-09-30,0,6,32,27,85,False,2018-09-30,33,14,17,83,55,False,2018-09-30,14,6,0,76,61,False,2018-09-30,35,50,0,3,23,False,2018-09-30,82,0,0,1,14,False,2018-09-30,0,2,5,0,85,False,2018-09-30,1,0,13,13,85,False,2018-09-30,1,73,2,0,85,False,2018-09-30,0,10,56,1,85,False,2018-09-30,1,35,0,18,85,False,2018-09-30,28,3,57,63,36,False,2018-09-30,31,0,0,74,10,False,2018-09-30,1,74,24,1,52,False,2018-09-30,0,0,18,0,85,False,2018-09-30,0,0,0,51,75,False,2018-09-30,0,0,49,0,45,False,2018-09-30,5,11,75,1,14,False,2018-09-30,20,4,36,5,85,False,2018-09-30,2,0,0,58,8,False,2018-09-30,0,0,0,55,1,False
